Timestamp,Channel,Raw,SetupRaw,Diff,Deriv,IsPressed
1783510284.420020,20,2482,2482.33,-0.33,-6.00,0
1783510284.434857,20,2480,2482.33,-2.33,-2.00,0
1783510284.450798,20,2479,2482.33,-3.33,-1.00,0
1783510284.469076,20,2486,2482.33,3.67,7.00,0
1783510284.482231,20,2485,2482.33,2.67,-1.00,0
1783510284.498323,20,2484,2482.33,1.67,-1.00,0
1783510284.514513,20,2484,2482.33,1.67,0.00,0
1783510284.530842,20,2485,2482.33,2.67,1.00,0
1783510284.549573,20,2482,2482.33,-0.33,-3.00,0
1783510284.562953,20,2486,2482.33,3.67,4.00,0
1783510284.578423,20,2483,2482.33,0.67,-3.00,0
1783510284.594489,20,2484,2482.33,1.67,1.00,0
1783510284.610648,20,2478,2482.33,-4.33,-6.00,0
1783510284.629342,20,2484,2482.33,1.67,6.00,0
1783510284.643065,20,2482,2482.33,-0.33,-2.00,0
1783510284.658512,20,2479,2482.33,-3.33,-3.00,0
1783510284.674700,20,2482,2482.33,-0.33,3.00,0
1783510284.691203,20,2482,2482.33,-0.33,0.00,0
1783510284.709183,20,2483,2482.33,0.67,1.00,0
1783510284.722589,20,2478,2482.33,-4.33,-5.00,0
1783510284.738511,20,2485,2482.33,2.67,7.00,0
1783510284.754491,20,2488,2482.33,5.67,3.00,0
1783510284.770931,20,2482,2482.33,-0.33,-6.00,0
1783510284.787907,20,2482,2482.33,-0.33,0.00,0
1783510284.802335,20,2484,2482.33,1.67,2.00,0
1783510284.818478,20,2482,2482.33,-0.33,-2.00,0
1783510284.834984,20,2482,2482.33,-0.33,0.00,0
1783510284.850857,20,2485,2482.33,2.67,3.00,0
1783510284.867767,20,2489,2482.33,6.67,4.00,0
1783510284.883166,20,2480,2482.33,-2.33,-9.00,0
1783510284.899075,20,2483,2482.33,0.67,3.00,0
1783510284.915065,20,2485,2482.33,2.67,2.00,0
1783510284.931161,20,2486,2482.33,3.67,1.00,0
1783510284.947923,20,2485,2482.33,2.67,-1.00,0
1783510284.963367,20,2485,2482.33,2.67,0.00,0
1783510284.978682,20,2487,2482.33,4.67,2.00,0
1783510284.995307,20,2488,2482.33,5.67,1.00,0
1783510285.012208,20,2487,2482.33,4.67,-1.00,0
1783510285.031089,20,2486,2482.33,3.67,-1.00,0
1783510285.044238,20,2486,2482.33,3.67,0.00,0
1783510285.058689,20,2488,2482.33,5.67,2.00,0
1783510285.074262,20,2482,2482.33,-0.33,-6.00,0
1783510285.094685,20,2487,2482.33,4.67,5.00,0
1783510285.106540,20,2491,2482.33,8.67,4.00,0
1783510285.122525,20,2493,2482.33,10.67,2.00,0
1783510285.138787,20,2502,2482.33,19.67,9.00,0
1783510285.155006,20,2755,2482.33,272.67,253.00,0
1783510285.173827,20,2851,2482.33,368.67,96.00,0
1783510285.186983,20,2873,2482.33,390.67,22.00,0
1783510285.202703,20,2868,2482.33,385.67,-5.00,0
1783510285.219122,20,2835,2482.33,352.67,-33.00,0
1783510285.234937,20,2622,2482.33,139.67,-213.00,0
1783510285.253206,20,2593,2482.33,110.67,-29.00,0
1783510285.266969,20,2572,2482.33,89.67,-21.00,0
1783510285.282885,20,2554,2482.33,71.67,-18.00,0
1783510285.298576,20,2535,2482.33,52.67,-19.00,0
1783510285.314365,20,2515,2482.33,32.67,-20.00,0
1783510285.333748,20,2509,2482.33,26.67,-6.00,0
1783510285.346956,20,2504,2482.33,21.67,-5.00,0
1783510285.362640,20,2500,2482.33,17.67,-4.00,0
1783510285.379198,20,2493,2482.33,10.67,-7.00,0
1783510285.394745,20,2493,2482.33,10.67,0.00,0
1783510285.412786,20,2494,2482.33,11.67,1.00,0
1783510285.426341,20,2492,2482.33,9.67,-2.00,0
1783510285.442828,20,2492,2482.33,9.67,0.00,0
1783510285.459197,20,2491,2482.33,8.67,-1.00,0
1783510285.475086,20,2491,2482.33,8.67,0.00,0
1783510285.495221,20,2493,2482.33,10.67,2.00,0
1783510285.506527,20,2497,2482.33,14.67,4.00,0
1783510285.522927,20,2496,2482.33,13.67,-1.00,0
1783510285.538385,20,2496,2482.33,13.67,0.00,0
1783510285.554504,20,2497,2482.33,14.67,1.00,0
1783510285.573116,20,2500,2482.33,17.67,3.00,0
1783510285.587059,20,2501,2482.33,18.67,1.00,0
1783510285.603082,20,2502,2482.33,19.67,1.00,0
1783510285.618459,20,2505,2482.33,22.67,3.00,0
1783510285.634955,20,2510,2482.33,27.67,5.00,0
1783510285.654266,20,2509,2482.33,26.67,-1.00,0
1783510285.667418,20,2510,2482.33,27.67,1.00,0
1783510285.682385,20,2511,2482.33,28.67,1.00,0
1783510285.698491,20,2506,2482.33,23.67,-5.00,0
1783510285.715115,20,2507,2482.33,24.67,1.00,0
1783510285.735115,20,2510,2482.33,27.67,3.00,0
1783510285.747676,20,2504,2482.33,21.67,-6.00,0
1783510285.762413,20,2501,2482.33,18.67,-3.00,0
1783510285.778940,20,2504,2482.33,21.67,3.00,0
1783510285.797169,20,2500,2482.33,17.67,-4.00,0
